command_tested,tick_delay,command_duration,success
RIGHT,14,0,0.0
RIGHT,14,1,0.0
RIGHT,14,2,0.0
RIGHT,14,3,0.0
RIGHT,14,4,0.0
RIGHT,14,5,0.0
RIGHT,14,6,0.0
RIGHT,14,7,0.0
RIGHT,14,8,0.0
RIGHT,14,9,0.0
RIGHT,14,10,0.0
RIGHT,14,11,0.0
RIGHT,14,12,0.0
RIGHT,14,13,0.0
RIGHT,14,14,0.0
RIGHT,14,15,0.0
RIGHT,14,16,0.0
RIGHT,14,17,0.0
RIGHT,14,18,0.0
RIGHT,14,19,0.0
RIGHT,14,20,0.0
RIGHT,14,21,0.0
RIGHT,14,22,0.0
RIGHT,14,23,0.0
RIGHT,14,24,0.0
RIGHT,14,25,0.0
RIGHT,14,26,0.0
RIGHT,14,27,0.0
RIGHT,14,28,0.0
RIGHT,14,29,0.0
RIGHT,14,30,0.0
RIGHT,15,0,0.0
RIGHT,15,1,0.0
RIGHT,15,2,0.0
RIGHT,15,3,0.0
RIGHT,15,4,0.0
RIGHT,15,5,0.0
RIGHT,15,6,0.0
RIGHT,15,7,0.0
RIGHT,15,8,0.0
RIGHT,15,9,0.0
RIGHT,15,10,1.0
RIGHT,15,11,0.0
RIGHT,15,12,0.0
RIGHT,15,13,0.0
RIGHT,15,14,0.0
RIGHT,15,15,0.0
RIGHT,15,16,0.0
RIGHT,15,17,0.0
RIGHT,15,18,1.0
RIGHT,15,19,0.0
RIGHT,15,20,0.0
RIGHT,15,21,0.0
RIGHT,15,22,1.0
RIGHT,15,23,0.0
RIGHT,15,24,0.0
RIGHT,15,25,0.0
RIGHT,15,26,0.0
RIGHT,15,27,0.0
RIGHT,15,28,0.0
RIGHT,15,29,0.0
RIGHT,15,30,0.0
