command_tested,tick_delay,command_duration,success
LEFT,5,28,1.0
LEFT,5,29,1.0
LEFT,5,30,1.0
LEFT,6,0,1.0
LEFT,6,1,0.0
LEFT,6,2,0.0
LEFT,6,3,0.0
LEFT,6,4,1.0
LEFT,6,5,1.0
LEFT,6,6,1.0
LEFT,6,7,1.0
LEFT,6,8,1.0
LEFT,6,9,1.0
LEFT,6,10,1.0
LEFT,6,11,1.0
LEFT,6,12,1.0
LEFT,6,13,1.0
LEFT,6,14,1.0
LEFT,6,15,1.0
LEFT,6,16,1.0
LEFT,6,17,1.0
LEFT,6,18,1.0
LEFT,6,19,1.0
LEFT,6,20,1.0
LEFT,6,21,1.0
LEFT,6,22,1.0
LEFT,6,23,1.0
LEFT,6,24,1.0
LEFT,6,25,1.0
LEFT,6,26,1.0
LEFT,6,27,1.0
LEFT,6,28,1.0
LEFT,6,29,1.0
LEFT,6,30,1.0
LEFT,7,0,1.0
LEFT,7,1,0.0
LEFT,7,2,0.0
LEFT,7,3,0.0
LEFT,7,4,1.0
LEFT,7,5,1.0
LEFT,7,6,1.0
LEFT,7,7,1.0
LEFT,7,8,1.0
LEFT,7,9,1.0
LEFT,7,10,1.0
LEFT,7,11,1.0
LEFT,7,12,1.0
LEFT,7,13,1.0
LEFT,7,14,1.0
LEFT,7,15,1.0
LEFT,7,16,1.0
LEFT,7,17,1.0
LEFT,7,18,1.0
LEFT,7,19,1.0
LEFT,7,20,1.0
LEFT,7,21,1.0
LEFT,7,22,1.0
LEFT,7,23,1.0
LEFT,7,24,1.0
LEFT,7,25,1.0
LEFT,7,26,1.0
LEFT,7,27,1.0
LEFT,7,28,1.0
LEFT,7,29,1.0
LEFT,7,30,1.0
LEFT,8,0,1.0
LEFT,8,1,0.0
LEFT,8,2,0.0
LEFT,8,3,1.0
LEFT,8,4,0.0
LEFT,8,5,1.0
LEFT,8,6,1.0
LEFT,8,7,1.0
LEFT,8,8,1.0
LEFT,8,9,1.0
LEFT,8,10,1.0
LEFT,8,11,1.0
LEFT,8,12,1.0
LEFT,8,13,1.0
LEFT,8,14,1.0
LEFT,8,15,1.0
LEFT,8,16,1.0
LEFT,8,17,1.0
LEFT,8,18,1.0
LEFT,8,19,1.0
LEFT,8,20,1.0
LEFT,8,21,1.0
LEFT,8,22,1.0
LEFT,8,23,1.0
LEFT,8,24,1.0
LEFT,8,25,1.0
LEFT,8,26,1.0
LEFT,8,27,1.0
LEFT,8,28,1.0
LEFT,8,29,1.0
LEFT,8,30,1.0
LEFT,9,0,1.0
LEFT,9,1,0.0
LEFT,9,2,0.0
LEFT,9,3,0.0
LEFT,9,4,1.0
LEFT,9,5,1.0
LEFT,9,6,1.0
LEFT,9,7,1.0
LEFT,9,8,1.0
LEFT,9,9,1.0
LEFT,9,10,1.0
LEFT,9,11,1.0
LEFT,9,12,1.0
LEFT,9,13,1.0
LEFT,9,14,1.0
LEFT,9,15,1.0
LEFT,9,16,1.0
LEFT,9,17,1.0
LEFT,9,18,1.0
LEFT,9,19,1.0
LEFT,9,20,1.0
LEFT,9,21,1.0
LEFT,9,22,1.0
LEFT,9,23,1.0
LEFT,9,24,1.0
LEFT,9,25,1.0
LEFT,9,26,1.0
LEFT,9,27,1.0
LEFT,9,28,1.0
LEFT,9,29,1.0
LEFT,9,30,1.0
LEFT,10,0,1.0
LEFT,10,1,0.0
LEFT,10,2,0.0
LEFT,10,3,1.0
LEFT,10,4,0.0
LEFT,10,5,1.0
LEFT,10,6,1.0
LEFT,10,7,1.0
LEFT,10,8,1.0
LEFT,10,9,1.0
LEFT,10,10,1.0
LEFT,10,11,1.0
LEFT,10,12,1.0
LEFT,10,13,1.0
LEFT,10,14,1.0
LEFT,10,15,1.0
LEFT,10,16,1.0
LEFT,10,17,1.0
LEFT,10,18,1.0
LEFT,10,19,1.0
LEFT,10,20,1.0
LEFT,10,21,1.0
LEFT,10,22,1.0
LEFT,10,23,1.0
LEFT,10,24,1.0
LEFT,10,25,1.0
LEFT,10,26,1.0
LEFT,10,27,1.0
LEFT,10,28,1.0
LEFT,10,29,1.0
LEFT,10,30,1.0
LEFT,11,0,1.0
LEFT,11,1,0.0
LEFT,11,2,0.0
LEFT,11,3,0.0
LEFT,11,4,0.0
LEFT,11,5,0.0
LEFT,11,6,0.0
LEFT,11,7,1.0
LEFT,11,8,0.0
LEFT,11,9,1.0
LEFT,11,10,1.0
LEFT,11,11,1.0
LEFT,11,12,1.0
LEFT,11,13,1.0
LEFT,11,14,1.0
LEFT,11,15,0.0
LEFT,11,16,1.0
LEFT,11,17,0.0
LEFT,11,18,0.0
LEFT,11,19,1.0
LEFT,11,20,1.0
LEFT,11,21,1.0
LEFT,11,22,0.0
LEFT,11,23,0.0
LEFT,11,24,0.0
LEFT,11,25,1.0
LEFT,11,26,1.0
LEFT,11,27,1.0
LEFT,11,28,1.0
LEFT,11,29,1.0
LEFT,11,30,1.0
LEFT,12,0,0.0
LEFT,12,1,0.0
LEFT,12,2,0.0
LEFT,12,3,0.0
LEFT,12,4,0.0
LEFT,12,5,0.0
LEFT,12,6,0.0
LEFT,12,7,0.0
