run_id,command_tested,tick_delay,command_duration,junction_command_applied,early_command_applied,command_released,success,max_cte,waypoint_deviation
196,RIGHT,6,9,True,False,True,False,35.58323544741283,
197,RIGHT,6,10,True,False,True,False,7.746252422615915,
198,RIGHT,6,11,True,False,True,False,7.805655083702619,
199,RIGHT,6,12,True,False,True,False,7.830548385354362,
200,RIGHT,6,13,True,False,True,False,2.409755745704197,
201,RIGHT,6,14,True,False,True,False,2.125416573612314,
202,RIGHT,6,15,True,False,True,True,1.6851057045621867,
203,RIGHT,6,16,True,False,True,True,1.290043740608012,
204,RIGHT,6,17,True,False,True,True,1.2461543165040012,
205,RIGHT,6,18,True,False,True,True,1.290403361319579,
206,RIGHT,6,19,True,False,True,True,1.3047776038011396,
207,RIGHT,6,20,True,False,True,True,1.263991997631824,
208,RIGHT,6,21,True,False,True,True,1.2339096439223027,
209,RIGHT,6,22,True,False,True,True,1.2507615708624986,
210,RIGHT,6,23,True,False,True,True,1.2342029862108364,
211,RIGHT,6,24,True,False,True,True,1.2641731458031134,
212,RIGHT,6,25,True,False,False,True,1.6170977999252427,
213,RIGHT,6,26,True,False,False,True,1.1819301790962127,
214,RIGHT,6,27,True,False,False,True,1.6076640297399363,
215,RIGHT,6,28,True,False,False,True,1.314164762506635,
216,RIGHT,6,29,True,False,False,True,1.1371409674474853,
217,RIGHT,6,30,True,False,False,True,1.3237782408646772,
218,RIGHT,7,0,True,False,False,True,1.8244476251422153,
219,RIGHT,7,1,True,False,True,False,27.914230087186183,
220,RIGHT,7,2,True,False,True,False,35.77965369603143,
221,RIGHT,7,3,True,False,True,False,35.96774108812298,
222,RIGHT,7,4,True,False,True,False,35.80515574693588,
223,RIGHT,7,5,True,False,True,False,35.82379276308715,
224,RIGHT,7,6,True,False,True,False,35.75558557810625,
225,RIGHT,7,7,True,False,True,False,35.81904696213674,
226,RIGHT,7,8,True,False,True,False,8.067797465070303,
227,RIGHT,7,9,True,False,True,False,25.22299245344701,
228,RIGHT,7,10,True,False,True,False,11.11752525775372,
229,RIGHT,7,11,True,False,True,False,7.884186757867411,
230,RIGHT,7,12,True,False,True,False,8.101667928965464,
